pl_name,hostname,pl_orbper,pl_rade,pl_bmassj,pl_eqt,pl_insol,st_rad,st_teff,st_lum,sy_dist,pl_dens
WASP-39 b,WASP-39,4.055259,14.235,0.28,,,0.895,5400.0,,213.982,0.186
HAT-P-1 b,HAT-P-1,4.46543,13.921578,0.532,1306.0,,1.135,5975.0,0.17026,158.979,0.345
HR 8799 d,HR 8799,37000.0,13.0,10.0,,,,,0.69197,41.2441,
GJ 3470 b,GJ 3470,3.33714,4.2,0.044,615.0,,0.503,3600.0,-1.538,29.4214,1.07
WASP-62 b,WASP-62,4.411953,15.581,0.57,,,1.28,6280.0,,175.631,0.279
GJ 1214 b,GJ 1214,1.58040482,2.27,0.02,,,0.21,,,14.6427,3.03
WASP-96 b,WASP-96,3.4252602,13.45,0.48,1285.0,,1.05,5540.0,,352.464,0.37
GJ 3470 b,GJ 3470,3.3366487,3.88,0.043,604.0,,0.48,3652.0,,29.4214,1.18
WASP-17 b,WASP-17,3.7354417,19.5,0.49,,,1.38,6550.0,,405.908,0.122
HAT-P-11 b,HAT-P-11,4.8878162,4.73,0.081,878.0,,0.75,4780.0,-0.585,37.7647,1.33
GJ 1214 b,GJ 1214,1.5803925,2.678,0.021,555.0,,0.211,3026.0,-2.484,14.6427,1.87
HAT-P-1 b,HAT-P-1,4.4652934,13.731,0.524,,,1.115,,,158.979,0.345
HAT-P-1 b,HAT-P-1,4.46529976,14.784671,0.525,1322.0,,1.174,5980.0,,158.979,0.282
WASP-19 b,WASP-19,0.78883942,15.636555,1.114,2067.0,,1.004,5440.0,,268.325,0.511
HR 8799 b,HR 8799,170000.0,13.0,7.0,,,,,0.69197,41.2441,
WASP-19 b,WASP-19,0.788839,15.423584,1.165,2058.0,,0.994,,,268.325,0.59451
GJ 1214 b,GJ 1214,1.58040456,2.847086,0.0197,,,0.216,3026.0,,14.6427,1.49
GJ 1214 b,GJ 1214,1.5804043,2.61,,,,0.201,,,14.6427,
HAT-P-1 b,HAT-P-1,4.46,14.79588,0.53,1320.0,,1.17839,6051.18,0.22463,158.979,
WASP-17 b,WASP-17,3.73,21.18501,0.51,1740.0,,1.57323,6548.0,0.61272,405.908,
HAT-P-11 b,HAT-P-11,4.88781501,4.449973,0.084,838.0,,0.695,4780.0,,37.7647,1.68
HD 17156 b,HD 17156,21.216398,11.937585,3.262,883.0,,1.487,6079.0,,78.0863,3.35
WASP-43 b,WASP-43,0.8,10.42,1.8,1350.0,,,4400.0,,86.7467,2.9
WASP-19 b,WASP-19,0.79,15.80469,1.14,2050.0,,1.02805,5503.0,-0.05888,268.325,
WASP-39 b,WASP-39,4.06,14.23543,0.28,1120.0,,1.01342,5326.6,-0.12792,213.982,
K2-25 b,K2-25,3.484552,3.43,,,,0.295,3180.0,-2.07572,44.9565,
WASP-17 b,WASP-17,3.735433,22.261074,0.453,,,1.579,6650.0,,405.908,
HAT-P-1 b,HAT-P-1,4.4652968,14.784671,0.529,1322.0,,,5980.0,,158.979,0.358
HAT-P-11 b,HAT-P-11,4.887802706,4.71,,,,0.74,4653.0,,37.7647,
HD 3167 b,HD 3167,0.959628,1.8,,,,0.88,,,47.2899,
HD 3167 c,HD 3167,29.839835,3.0,,,,0.88,,,47.2899,
HD 3167 b,HD 3167,0.959665,1.62377492,,,,0.836616,5366.0,,47.2899,
HAT-P-11 b,HAT-P-11,4.887802443,4.36,0.07362426,,,0.683,4780.0,,37.7647,
HAT-P-11 b,HAT-P-11,4.88782,4.81987,0.09,,,0.77,4708.0,,37.7647,
HD 17156 b,HD 17156,21.21663,12.3299,3.51,,,1.55,6040.0,,78.0863,
WASP-17 b,WASP-17,3.73543,20.96083,0.78,,,1.49,6550.0,,405.908,
WASP-62 b,WASP-62,4.41195,14.79588,0.52,,,1.23,6230.0,,175.631,
KELT-7 b,KELT-7,2.73477,17.9344,1.39,,,1.81,6768.0,,136.681,
KELT-7 b,KELT-7,2.7347749,17.183397,1.28,2048.0,,1.732,6789.0,0.758,136.681,0.442
GJ 3470 b,GJ 3470,3.336649,4.32,0.04436334,,,0.526,,,29.4214,0.94
WASP-39 b,WASP-39,4.0552765,14.930388,0.283,,,0.918,,,213.982,0.16
HD 3167 c,HD 3167,29.844982,2.83066164,,,,0.836616,5366.0,,47.2899,
WASP-19 b,WASP-19,0.788838989,15.602928,1.069,2520.0,,1.004,5568.0,,268.325,0.492
WASP-17 b,WASP-17,3.7354845,21.655788,0.477,1755.0,,1.583,,,405.908,0.082
WASP-17 b,WASP-17,3.735438,22.317119,0.486,1771.0,,1.572,6650.0,,405.908,0.0817
GJ 3470 b,GJ 3470,3.33665,4.83,0.04373407,,,0.568,3600.0,,29.4214,0.72
HD 3167 b,HD 3167,0.959628,1.557,,1860.0,,0.828,5370.0,,47.2899,
HD 3167 c,HD 3167,29.8454,2.85,,500.0,,0.828,5370.0,,47.2899,
WASP-17 b,WASP-17,3.735438,19.582123,0.486,,,1.572,,,405.908,0.121
GJ 3470 b,GJ 3470,3.3366496,4.57,0.04373407,593.5,,0.547,3600.0,,29.4214,0.8
HD 3167 b,HD 3167,0.959641,1.7,0.01579461,,1625.0,0.86,5261.0,,47.2899,5.6
HD 3167 c,HD 3167,29.8454,3.01,0.03083409,,16.6,0.86,5261.0,,47.2899,1.97
HD 3167 c,HD 3167,29.83832,2.86,,531.0,,0.87,5528.0,,47.2899,
WASP-62 b,WASP-62,4.411953,15.58051,0.568,,,1.28,6230.0,,175.631,0.262
WASP-96 b,WASP-96,3.4252602,13.4508,0.49,,,1.05,5500.0,,352.464,0.352
WASP-17 b,WASP-17,3.7354845,22.317119,0.512,,,1.572,6650.0,,405.908,0.08
WASP-19 b,WASP-19,0.7888396,14.68379,1.157,,,0.94,5500.0,,268.325,0.637
WASP-39 b,WASP-39,4.0552947,14.23543,0.275,,,0.895,5400.0,,213.982,0.166
WASP-43 b,WASP-43,0.81347437,11.612524,2.05,,,0.667,4400.0,,86.7467,2.28
HD 17156 b,HD 17156,21.216398,12.184183,3.235,,,1.5007,6079.0,,78.0863,3.123
HAT-P-1 b,HAT-P-1,4.46529976,13.921578,0.525,,,1.135,5980.0,,158.979,0.339
WASP-103 b,WASP-103,0.925542,17.127352,1.49,,,1.436,6110.0,,375.647,
HAT-P-11 b,HAT-P-11,4.88780026,4.68,,794.0,,0.742,4766.0,,37.7647,
HD 3167 b,HD 3167,0.96,1.626,0.01758802,,,0.88,5261.0,,47.2899,7.2
WASP-39 b,WASP-39,4.0552941,14.336311,0.281,1166.0,,0.939,5485.0,,213.982,0.167
HAT-P-11 b,HAT-P-11,4.887802706,4.84,,801.0,97.1,0.765,4777.0,,37.7647,
HAT-P-11 b,HAT-P-11,4.887802706,4.84,,801.0,97.1,0.765,4777.0,,37.7647,
HD 63433 c,HD 63433,20.54381533218,2.57342831,,621.93,35.3582,0.902932,5694.11,,22.4035,
WASP-62 b,WASP-62,4.41194,15.02006,0.58,1475.3,,1.29,6230.0,,175.631,0.32
NGTS-10 b,NGTS-10,0.7668944,13.506845,2.162,1332.0,,0.697,4600.0,,,1.43
GJ 3470 b,GJ 3470,3.336649,3.88,0.03958091,615.0,,0.48,3652.0,-1.5376,29.4214,0.93
HIP 67522 b,HIP 67522,6.959503,10.07,,1174.0,,1.38,5675.0,0.24304,127.28,
WASP-19 b,WASP-19,0.78883852,15.86070769,1.154,2113.0,3320.0,1.006,5616.0,-0.04335,268.325,0.506
K2-25 b,K2-25,3.48456408,3.44,0.07708562,494.0,9.91,0.2932,3207.0,-2.08831,44.9565,
WASP-96 b,WASP-96,3.42525631341,14.37529211,,1233.15,546.4855,1.11655,5540.0,,352.464,
TOI-283 b,TOI-283,17.6174652,2.01411,,610.0,23.0207,0.81,5250.0,,82.7013,
HAT-P-1 b,HAT-P-1,4.4652986,14.5331,,1118.0,259.687,1.18,6051.2,,158.979,
WASP-17 b,WASP-17,3.7354838,21.2315,,1670.0,1292.19,1.57,6650.0,,405.908,
HD 17156 b,HD 17156,21.216464,13.1431,,581.0,18.9464,1.55,5925.0,,78.0863,
KELT-7 b,KELT-7,2.7347651,17.805,,1808.0,1775.39,1.77,6767.9,,136.681,
GJ 3470 b,GJ 3470,3.33665106329,4.13050781,,595.19,29.6584,0.499698,3552.0,,29.4214,
HAT-P-11 b,HAT-P-11,4.8878037,5.29152,,810.0,71.6805,0.76,4757.3,,37.7647,
HD 3167 b,HD 3167,0.959632,1.574,0.01790274,1759.0,,0.835,5286.0,,47.2899,8.0
HD 3167 c,HD 3167,29.84622,2.74,0.02620911,548.0,,0.835,5286.0,,47.2899,2.21
COCONUTS-2 b,COCONUTS-2 A,402000000.0,12.44196858,6.3,434.0,,0.388,3406.0,-1.732,10.8864,
HD 63433 b,HD 63433,7.10793,2.15,,,,0.912,5640.0,-0.12321,22.4035,
HD 63433 c,HD 63433,20.5453,2.67,,,,0.912,5640.0,-0.12321,22.4035,
HR 8799 c,HR 8799,69000.0,13.0,10.0,,,,,0.69197,41.2441,
